site_id,years_sampled
109000082,13
109000083,15
109000084,18
109000085,24
109000086,8
109000087,20
109000088,20
109000089,18
109000090,18
109000091,19
109000092,20
109000093,9
109000094,8
109000095,9
109000096,8
109000097,13
109000098,11
109000099,20
109000100,10
109000101,11
109000102,22
109000103,21
109000104,9
109000105,12
109000106,16
109000107,16
109000108,24
109000109,12
109000110,19
109000111,12
109000112,13
109000113,15
109000114,9
109000115,18
109000116,16
109000117,9
109000118,21
109000119,8
109000120,19
109000121,8
109000122,22
109000123,13
109000124,12
109000125,8
109000126,8
109000127,16
109000128,10
109000129,11
109000130,8
109000131,10
109000132,9
109000133,18
109000134,8
109000135,15
109000136,14
109000137,9
109000138,14
109000139,10
109000140,9
109000141,10
109000142,14
109000143,10
109000144,19
109000145,18
109000146,15
109000147,20
109000148,15
109000149,9
109000150,12
109000151,11
109000152,21
109000153,20
109000154,9
109000155,8
109000156,14
109000157,14
109000158,15
109000159,25
109000160,11
109000161,12
109000162,8
109000163,11
109000164,19
109000165,9
109000166,13
109000167,12
109000168,19
109000169,9
109000170,14
109000171,10
109000172,9
109000173,12
109000174,8
109000175,11
109000176,19
109000177,21
109000178,10
109000179,9
109000180,11
109000181,10
109000182,11
109000183,13
109000184,20
109000185,17
109000186,16
109000187,12
109000188,14
109000189,12
109000190,16
109000191,20
109000192,15
109000193,8
109000195,15
109000197,9
109000198,9
109000199,14
109000200,20
109000201,9
109000202,14
109000203,10
109000204,15
109000205,8
109000206,12
109000207,17
109000208,13
109000209,14
109000210,10
109000211,15
109000212,14
109000213,14
109000214,15
109000215,9
109000216,23
109000217,9
109000218,12
109000219,13
109000220,21
109000221,14
109000222,11
109000223,10
109000224,20
109000225,16
109000226,15
109000227,13
109000228,16
109000229,12
109000230,17
109000231,15
109000232,11
109000233,20
109000234,14
109000235,13
109000236,15
109000237,17
109000238,18
109000239,12
109000240,19
109000241,10
109000242,13
109000243,15
109000244,13
109000245,17
109000246,8
109000247,11
109000248,15
109000250,15
109000251,9
109000252,14
109000253,8
109000254,11
109000255,16
109000256,18
109000257,9
109000258,22
109000259,13
109000260,17
109000261,16
109000262,16
109000263,15
109000264,11
109000265,9
109000266,18
109000267,15
109000268,8
109000269,13
109000270,9
109000271,10
109000272,20
109000273,17
109000274,12
109000275,11
109000276,12
109000277,11
109000278,16
109000279,11
109000280,13
109000281,12
109000282,18
109000283,10
109000284,12
109000285,14
109000286,14
109000287,24
109000288,16
109000289,10
109000290,10
109000291,11
109000292,10
109000293,15
109000294,10
109000295,12
109000296,16
109000297,10
109000298,11
109000299,18
109000300,9
109000301,12
109000302,16
109000303,16
109000304,18
109000305,12
109000306,13
109000307,10
109000308,9
109000309,9
109000310,9
109000311,14
109000312,17
109000313,11
109000314,16
109000315,18
109000316,15
109000317,16
109000318,8
109000319,12
109000320,11
109000321,10
109000322,14
109000323,13
109000324,17
109000325,17
109000326,8
109000327,18
109000328,19
109000329,9
109000330,10
109000331,9
109000332,8
109000333,9
109000334,12
109000335,15
109000336,13
109000337,13
109000338,8
109000339,10
109000340,11
109000341,8
109000342,23
109000343,8
109000344,9
109000345,15
109000346,9
109000347,19
109000348,8
109000349,24
109000350,10
109000351,8
109000352,18
109000353,19
109000354,10
109000355,17
109000356,8
109000357,9
109000358,15
109000359,9
109000360,9
109000361,16
109000362,13
109000363,8
109000364,14
109000365,16
109000366,16
109000367,16
109000368,12
109000369,9
109000370,12
109000374,14
109000375,16
109000376,14
109000377,14
109000378,12
109000379,10
109000380,23
109000381,11
109000382,15
109000383,11
109000384,19
109000385,10
109000386,10
109000387,14
109000389,18
109000390,16
109000392,16
109000393,16
109000394,16
109000395,12
109000396,16
109000397,12
109000398,13
109000399,12
109000400,13
109000401,11
109000403,13
109000404,10
109000405,10
109000406,10
109000407,10
109000408,12
109000409,10
109000410,10
109000411,13
109000418,16
109000419,11
109000420,12
109000421,14
109000422,13
109000423,13
109000424,9
109000425,9
109000426,14
109000427,14
109000428,14
109000429,13
109000430,11
110000001,17
110000002,17
110000003,17
110000004,17
110000005,17
110000006,17
110000007,17
110000008,16
110000009,17
110000010,17
110000011,16
110000012,16
110000013,17
110000014,17
110000015,17
110000016,17
111000001,9
111000002,9
111000003,9
111000004,17
111000005,18
111000006,18
111000007,18
111000008,16
111000009,18
111000010,18
111000011,18
111000012,13
111000013,18
111000014,18
111000015,18
111000016,15
111000017,13
111000019,8
111000020,13
111000021,15
111000022,15
111000023,10
111000024,15
111000025,15
111000026,15
111000027,15
111000028,15
111000029,9
111000030,9
111000031,9
111000032,9
111000033,9
111000034,9
111000035,9
111000036,9
111000037,9
111000038,9
111000039,9
111000040,9
111000041,8
111000042,9
111000043,9
111000044,9
111000046,9
111000047,9
111000048,9
111000049,9
111000050,9
111000051,9
111000052,9
111000053,12
111000054,9
111000055,12
111000056,11
111000057,12
111000058,12
111000059,12
111000060,12
111000061,12
111000062,12
111000063,12
111000064,11
111000065,11
111000066,11
111000067,12
111000068,12
111000069,12
112000001,8
113000001,8
113000002,8
113000003,8
113000004,9
113000005,9
114000001,10
114000002,12
114000003,13
114000004,12
114000005,13
114000006,13
114000007,13
114000009,9
114000010,10
114000011,12
114000012,10
114000013,10
114000014,13
114000015,12
114000016,11
114000017,13
114000018,11
114000019,12
114000020,10
114000021,10
114000022,12
114000023,9
114000024,9
114000025,8
114000028,10
114000029,8
114000030,11
114000031,12
114000032,10
114000033,13
114000034,8
114000035,12
114000036,12
114000037,13
114000038,12
114000039,12
114000040,11
114000041,11
114000042,11
114000043,12
114000044,12
114000045,11
114000046,11
114000047,12
114000048,12
114000049,8
114000050,10
114000051,11
114000052,12
114000054,12
114000055,9
114000056,12
114000057,8
114000058,11
114000059,13
114000061,10
114000062,12
114000063,9
114000064,9
114000065,10
114000066,10
114000067,10
114000068,10
114000069,12
114000070,10
114000071,11
114000072,10
114000073,8
114000074,10
114000075,10
114000076,10
114000077,12
114000078,8
114000080,13
114000081,12
114000082,13
114000083,11
114000084,11
114000085,13
114000086,13
114000087,12
114000088,14
114000089,14
114000090,13
114000091,12
114000092,14
114000093,12
115000001,27
115000002,27
116000004,8
116000007,8
117000002,13
117000003,16
117000004,14
117000005,14
117000006,13
117000007,13
117000008,13
117000009,13
117000010,13
117000011,13
117000012,12
117000013,12
117000014,12
117000015,22
117000016,10
117000017,24
117000018,18
117000019,26
117000020,16
117000021,23
117000022,23
117000023,15
117000024,15
117000025,14
117000027,14
117000028,15
117000029,16
117000030,12
117000031,11
117000032,11
117000033,11
117000034,14
117000035,10
117000036,9
117000037,11
117000038,13
117000039,20
117000040,12
117000041,10
117000042,11
117000043,12
117000044,12
117000045,10
117000049,8
117000052,8
117000053,10
117000054,13
118000004,8
119000001,15
119000002,15
119000003,15
119000004,15
119000005,15
119000006,15
119000007,15
119000008,15
119000009,15
119000010,15
120000001,19
120000002,20
120000003,19
121000003,9
121000004,8
121000005,9
121000007,8
121000009,8
121000010,9
121000013,10
121000015,9
121000016,12
121000017,9
121000019,8
121000021,9
121000028,11
121000029,8
121000034,8
121000040,10
121000042,10
121000044,10
121000045,8
121000047,10
121000049,8
121000053,13
121000059,8
121000073,10
121000079,8
121000083,8
121000086,8
121000094,8
121000096,9
121000103,8
121000108,8
121000141,11
121000142,11
121000147,10
121000151,9
121000154,8
121000158,8
121000160,9
121000161,13
121000162,10
121000165,9
121000167,8
121000168,12
121000174,9
121000178,8
121000183,11
121000189,12
121000190,9
121000191,13
121000192,10
121000196,8
121000197,8
121000198,11
121000202,9
121000204,9
121000206,8
121000213,14
121000214,10
121000215,12
121000216,10
121000217,9
121000218,15
121000219,12
121000221,8
121000223,12
121000225,10
121000228,8
121000230,11
121000231,9
121000237,12
121000241,9
121000248,10
121000251,8
121000252,14
121000253,10
121000254,10
121000255,8
