drivers,Response,Estimate,Est.Error,Q0.5,Q99.5,Q2.5,Q97.5,Q5,Q95,Q10,Q90
saccumulation_atPoint,abundance,5.47E-05,0.000150119,-0.000335519,0.000433495,-0.000242447,0.000350195,-0.000194567,0.000300984,-0.000135187,0.000247409
selevation_atPoint,abundance,0.000828388,0.00025687,0.00016561,0.001513119,0.000320802,0.001330745,0.000404705,0.001244979,0.000497315,0.001150693
sslope_mean,abundance,-0.001107727,0.000191116,-0.001592206,-0.000627459,-0.0014796,-0.000732937,-0.001418412,-0.000789633,-0.001353601,-0.000860492
sN_Est,abundance,0.002939172,0.000247929,0.002311039,0.003584665,0.002449021,0.003425802,0.002534548,0.003349264,0.002619992,0.003257734
sN_mean,abundance,0.00074492,0.000264535,4.41E-05,0.001420245,0.000223263,0.001259826,0.000307108,0.001177237,0.000408013,0.00107852
surban_meanPerc_upstr,abundance,6.58E-05,0.000150301,-0.000330515,0.000451148,-0.000228854,0.000357628,-0.000182188,0.00030898,-0.000126619,0.000256438
scrop_meanPerc_upstr,abundance,-0.000146906,0.000221743,-0.000730806,0.000443545,-0.000579709,0.000280743,-0.00051036,0.00020826,-0.00043278,0.000134481
scrop_Est,abundance,-0.000914612,0.000177675,-0.001371131,-0.000465903,-0.001264026,-0.000567265,-0.001207627,-0.000623146,-0.001144352,-0.000687265
surban_Est,abundance,-5.22E-06,0.000199923,-0.000515074,0.00050808,-0.000399179,0.000391162,-0.000335848,0.000326735,-0.000263453,0.000251658
sdam_impact_score_lessthan100km,abundance,-0.001554998,0.000141568,-0.001916649,-0.001185852,-0.001827996,-0.001277794,-0.001786494,-0.001321359,-0.001735654,-0.001372656
Intercept,turnover,-0.000573766,0.002528967,-0.007105093,0.006624271,-0.005375648,0.004689826,-0.004591373,0.00365237,-0.00372606,0.002602285
sppt_Est,turnover,-0.00016296,4.01E-05,-0.000266279,-5.86E-05,-0.000243181,-8.53E-05,-0.000229289,-9.74E-05,-0.0002144,-0.000112049
stmax_Est,turnover,0.001444288,4.87E-05,0.00132171,0.001572346,0.001348497,0.001540707,0.0013645,0.001524236,0.001382169,0.001507365
sppt_mm_12moPrior,turnover,-0.001478419,6.13E-05,-0.001637096,-0.001315121,-0.001597103,-0.001356443,-0.001577366,-0.001376652,-0.001556589,-0.001400879
