"","Response","StartYear","Estimate","Est.Error","Q0.5","Q99.5","Q2.5","Q97.5","Q5","Q95","Q10","Q90"
"13","abundance","1989",-0.0193636173305708,0.0431145874538999,-0.159845728719206,0.132410557389404,-0.107379473681251,0.0700329577349479,-0.0878839041275735,0.0483426931488633,-0.0680394971205008,0.0288776424113192
"14","abundance","1990",-0.0190592844896965,0.0295728022000923,-0.121240512278456,0.0687402325816837,-0.0862844088541946,0.0356274087247498,-0.0696310230841042,0.0235061006712774,-0.0530260955276334,0.013309625607852
"15","abundance","1991",-0.0105920793274243,0.02708073769527,-0.0940347494800629,0.0804449600159422,-0.0637056177084853,0.0462183472883109,-0.0532325314298471,0.0337228199971271,-0.0421851295718117,0.0209369652130097
"16","abundance","1992",-0.00326390362789688,0.0198860468079013,-0.0762411185566332,0.0628052321174394,-0.0422132990319998,0.0384315370370581,-0.0337010300257145,0.0284820515344558,-0.0258865131922092,0.0198321413785852
"17","abundance","1993",-0.00252942991490573,0.0129469359856731,-0.0394360768347576,0.0394642601566749,-0.0277815099717189,0.0255869068132779,-0.0232314570841275,0.0185490414506261,-0.0180198460400433,0.0130419329907682
"18","abundance","1994",0.00300364257174602,0.0193143704408258,-0.0763658112686614,0.0540309121171873,-0.0631155604975692,0.0375569131602603,-0.0237142670512667,0.0297948594860815,-0.0140605495280728,0.0229610466038222
"19","abundance","1995",0.00198479046114074,0.0116983006700811,-0.0309921594381406,0.0425780803878884,-0.0201471237092009,0.0265508831719373,-0.0158597477638478,0.0207113044707022,-0.0116601553987129,0.015936062434351
"20","abundance","1996",-0.00108299958209971,0.009543338671646,-0.0300139454194561,0.0325491050343986,-0.0196759929341786,0.0183307251240501,-0.0156284588035059,0.0144591144074645,-0.0118194376086164,0.01021383454134
"21","abundance","1997",-0.00118776293099275,0.0113786689492786,-0.0352073577073018,0.0317538733398704,-0.0245894857693403,0.0219366182183059,-0.0194931242926272,0.0174090624389251,-0.0146302216995962,0.0128631333524188
"22","abundance","1998",-0.00532898402216997,0.0145136415447843,-0.0471769695783961,0.0520798316328019,-0.0335668125765199,0.024949526020754,-0.0280763942843491,0.0167348945860349,-0.0223520982824396,0.0113328830361989
"23","abundance","1999",-0.01386334783526,0.0113407793050257,-0.0466013713055842,0.0195408947495628,-0.0363322351716786,0.00924905343873298,-0.0322216262986827,0.00437066535698241,-0.0273009242547424,-0.000444907184710225
"24","abundance","2000",-0.0116475213197528,0.00996564913701255,-0.0415303884654707,0.0200477373744745,-0.0317030391022331,0.00845255504947803,-0.0275639403238969,0.00410823247414205,-0.0235188457164582,-1.14366013874272e-05
"25","abundance","2001",-0.00818214902155714,0.0116000538976547,-0.0466016853621866,0.0249745800841777,-0.0323079684834638,0.0147592851636598,-0.0268732405277707,0.0100275385191048,-0.0217742569232321,0.00546647274316372
"26","abundance","2002",-0.00606261013540061,0.0108961664683815,-0.0425315562759823,0.0243816818984325,-0.0309458320700021,0.013706938407588,-0.0245900806551352,0.00980478263062353,-0.0194846338504008,0.00633289889602106
"27","abundance","2003",-0.0024701662375295,0.010175798121936,-0.0392138762037389,0.0237954190071219,-0.0268060857923163,0.0150987998395631,-0.0207924517664731,0.0118895334210133,-0.0146829696943556,0.00870964385366067
"28","abundance","2004",-0.00320331432319366,0.0110298576844189,-0.0406857573976809,0.0319650459301569,-0.0258767412975384,0.0163837991667615,-0.0216051065995629,0.0128290846104677,-0.0170630122374511,0.00909720355949955
"29","abundance","2005",0.00249612356881713,0.0092310484016895,-0.0283097427506146,0.0270796191962408,-0.0185366522273124,0.0188275520280038,-0.0140780889982023,0.0157607039541888,-0.0094870700163558,0.0127483800068894
"30","abundance","2006",0.00154399959779839,0.0106113541402343,-0.0377819345731707,0.0322174263707194,-0.0214019460132198,0.0196390694723367,-0.0162062106738158,0.0160713151682612,-0.0108633010685934,0.0128820962824327
"31","abundance","2007",0.00795274081830587,0.00840038272361664,-0.0198983198240146,0.0323323479405756,-0.0102363434319616,0.023786235392955,-0.0066373012896544,0.0207022963298211,-0.00210190762050855,0.0175827461031518
"32","abundance","2008",0.0063090768278482,0.0108126836175538,-0.0259994923225356,0.0401588224048828,-0.016660004979173,0.0281356057197382,-0.0114165848872662,0.0232469546881165,-0.00656559665925356,0.0191905668905262
"33","abundance","2009",0.00082387944650281,0.0105183992350564,-0.0271800864123563,0.0495686375059315,-0.0191536359075243,0.0222201854322812,-0.015053751705169,0.0173164893041778,-0.0109212894526802,0.0127044409476682
"34","abundance","2010",-0.0033327534901541,0.0110735440668739,-0.0378769535658846,0.0377328798940901,-0.0238322431119206,0.0211362316730326,-0.0191034065776241,0.0148687788808376,-0.0152134847723514,0.00965688341995263
"35","abundance","2011",-0.0119277272112928,0.0153380514620457,-0.0677846454320219,0.0343404030673418,-0.0423502867864743,0.0191688975906901,-0.0348862549429908,0.0130662233204182,-0.0285956288398058,0.00585414674692999
