StartYear,Response,Estimate,Est.Error,Q0.5,Q99.5,Q2.5,Q97.5,Q5,Q95,Q10,Q90,site_num
2007,alien_SppRich,0.001472121,0.000890591,0.000169153,0.002891637,0.00029775,0.002891346,0.000451481,0.002890504,0.000506423,0.002889352,942
2008,alien_SppRich,0.00218234,0.00140192,0.000243594,0.0051745,0.000346801,0.005168994,0.000362366,0.005154203,0.000387761,0.00513576,980
2009,alien_SppRich,0.000708261,0.000627456,2.59E-05,0.001632542,2.87E-05,0.001632387,3.33E-05,0.001629937,5.34E-05,0.001627981,977
2010,alien_SppRich,0.001866978,0.002109813,0.000203075,0.00545852,0.000210233,0.005457662,0.000217772,0.005456233,0.000240706,0.005454151,939
2011,alien_SppRich,0.000609923,0.000621428,-0.000428479,0.001638151,-0.00042499,0.001638034,-0.000410989,0.001637646,8.78E-05,0.001636529,901
2012,alien_SppRich,-0.00138533,0.001991841,-0.005784378,0.000614556,-0.003947422,0.00045563,-0.003910147,0.000448049,-0.003880573,0.000443391,821
2013,alien_SppRich,-0.007564512,0.002050931,-0.01078275,-0.003228511,-0.010713557,-0.003280022,-0.010050258,-0.003311788,-0.010029231,-0.003437654,577
2014,alien_SppRich,-0.001898938,0.000708332,-0.002712238,0.000380838,-0.002710093,-0.000581316,-0.002703051,-0.000773014,-0.002637462,-0.000945868,373
1971,spp_richness,0.269127007,2.604354841,-7.155977584,7.63059495,-5.252058752,5.546777513,-4.199389466,4.448010997,-3.02615659,3.399150724,26
1972,spp_richness,0.572675693,2.441430321,-6.32957493,7.508838584,-4.416123178,5.603441806,-3.52830903,4.66329673,-2.490888502,3.587352525,22
1973,spp_richness,0.615575011,2.610976792,-6.912235767,8.184261413,-4.906973466,6.062307353,-3.856320058,4.986462867,-2.642488697,3.8093623,25
1974,spp_richness,0.988458761,2.678718671,-6.944017129,8.791145465,-4.807671917,6.453526135,-3.719047044,5.308553715,-2.395616668,4.136255875,30
1975,spp_richness,0.814243472,2.688307713,-6.98521852,8.867944502,-4.939762134,6.335584705,-3.813923368,5.124404416,-2.636022338,3.990562225,32
